ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,palm_kernel_expeller_2,9.80,4.50,16.30,,1.80,1.17,63.80,1985.00,1230.00,1335.00,830.00,90.20,4.99,18.07,0.00,2.00,1.30,70.73,2200.67,1363.64,1480.04,920.18,,4303.30,No encontrado
feed,roasted_soybeans,9.20,5.10,37.00,,20.00,19.00,11.30,3620.00,2430.00,2555.00,1900.00,90.80,5.62,40.75,0.00,22.03,20.93,12.44,3986.78,2676.21,2813.88,2092.51,,5737.58,No encontrado
feed,extruded_soybeans,9.20,5.10,37.00,,20.00,19.00,11.30,3680.00,2470.00,2600.00,1935.00,90.80,5.62,40.75,0.00,22.03,20.93,12.44,4052.86,2720.26,2863.44,2131.06,,5737.58,No encontrado
feed,soybean_meal_44_cp,12.10,6.20,44.00,,1.90,1.33,12.80,2770.00,1795.00,1910.00,1310.00,87.90,7.05,50.06,0.00,2.16,1.51,14.56,3151.31,2042.09,2172.92,1490.33,90.20,4701.55,soybean_meal_44_cp
feed,soybean_meal_45_5_cp,11.90,6.30,45.50,,1.70,1.19,10.90,2780.00,1800.00,1920.00,1315.00,88.10,7.15,51.65,0.00,1.93,1.35,12.37,3155.51,2043.13,2179.34,1492.62,,4708.10,No encontrado
feed,soybean_meal_47_cp,11.80,6.30,47.00,,1.70,1.19,9.50,2800.00,1815.00,1930.00,1330.00,88.20,7.14,53.29,0.00,1.93,1.35,10.77,3174.60,2057.82,2188.21,1507.94,90.70,4732.97,soybean_meal_47_cp
feed,soybean_meal_48_5_cp,11.80,6.30,48.50,,1.70,1.19,8.20,2810.00,1820.00,1940.00,1335.00,88.20,7.14,54.99,0.00,1.93,1.35,9.30,3185.94,2063.49,2199.55,1513.61,,4758.48,No encontrado
feed,soybean_meal_micronized_51_cp,8.90,6.70,51.40,,1.90,1.33,7.60,2980.00,1930.00,2060.00,1420.00,91.10,7.35,56.42,0.00,2.09,1.46,8.34,3271.13,2118.55,2261.25,1558.73,,4779.52,No encontrado
feed,common_vetch,10.00,3.50,26.50,,1.70,1.28,14.30,2860.00,1850.00,1970.00,1360.00,90.00,3.89,29.44,0.00,1.89,1.42,15.89,3177.78,2055.56,2188.89,1511.11,,4516.33,No encontrado
feed,ervil_bitter_vetch,8.40,3.20,22.00,,0.90,0.68,11.50,2875.00,1860.00,1985.00,1360.00,91.60,3.49,24.02,0.00,0.98,0.74,12.55,3138.65,2030.57,2167.03,1484.72,,4401.57,No encontrado
feed,soybean_protein_concentrates_extraction,7.00,6.10,65.00,,1.00,0.65,8.50,3100.00,2020.00,2150.00,1500.00,93.00,6.56,69.89,0.00,1.08,0.70,9.14,3333.33,2172.04,2311.83,1612.90,,4960.00,No encontrado
feed,soybean_protein_concentrates_fermentation,8.00,6.70,53.80,,1.50,0.98,9.00,3030.00,1970.00,2100.00,1460.00,92.00,7.28,58.48,0.00,1.63,1.06,9.78,3293.48,2141.30,2282.61,1586.96,,4788.04,No encontrado
feed,soybean_protein_isolates,6.60,3.20,87.00,,0.50,0.33,0.50,0.00,0.00,0.00,0.00,93.40,3.43,93.15,0.00,0.54,0.35,0.54,0.00,0.00,0.00,0.00,,5416.45,No encontrado
feed,peas_protein_concentrate,7.50,5.00,51.50,,2.10,1.58,8.70,2980.00,1935.00,2060.00,1420.00,92.50,5.41,55.68,0.00,2.27,1.70,9.41,3221.62,2091.89,2227.03,1535.14,,4864.43,No encontrado
feed,peas_protein_isolate,8.50,4.00,76.40,,5.50,4.95,1.50,0.00,0.00,0.00,0.00,91.50,4.37,83.50,0.00,6.01,5.41,1.64,0.00,0.00,0.00,0.00,,5536.72,No encontrado
feed,potato_protein_isolate,7.50,2.40,79.00,,2.00,1.40,3.00,3000.00,1950.00,2080.00,1450.00,92.50,2.59,85.41,0.00,2.16,1.51,3.24,3243.24,2108.11,2248.65,1567.57,,5428.00,No encontrado
feed,wheat_protein_hydrolyzed,8.60,3.90,65.60,,6.00,5.58,8.80,0.00,0.00,0.00,0.00,91.40,4.27,71.77,0.00,6.56,6.11,9.63,0.00,0.00,0.00,0.00,,5396.46,No encontrado
feed,rice_protein_concentrate,7.50,1.00,78.00,,4.30,3.66,2.00,3350.00,2210.00,2340.00,1675.00,92.50,1.08,84.32,0.00,4.65,3.95,2.16,3621.62,2389.19,2529.73,1810.81,,5617.62,No encontrado
feed,brewery_yeast,8.20,7.00,46.00,,2.00,1.60,6.50,2710.00,1740.00,1860.00,1250.00,91.80,7.63,50.11,0.00,2.18,1.74,7.08,2952.07,1895.42,2026.14,1361.66,89.70,4678.13,brewery_yeast
feed,alfalfa_hay_dehydrated,10.00,9.80,20.00,,1.80,0.90,35.00,2025.00,1260.00,1365.00,850.00,90.00,10.89,22.22,0.00,2.00,1.00,38.89,2250.00,1400.00,1516.67,944.44,,4106.22,No encontrado
feed,alfalfa_meal_17_5_cp,9.50,10.10,17.50,,1.70,0.85,37.90,1980.00,1225.00,1330.00,825.00,90.50,11.16,19.34,0.00,1.88,0.94,41.88,2187.85,1353.59,1469.61,911.60,,4044.20,No encontrado
feed,alfalfa_meal_15_cp,8.90,10.40,15.00,,1.60,0.80,42.60,1925.00,1190.00,1290.00,795.00,91.10,11.42,16.47,0.00,1.76,0.88,46.76,2113.06,1306.26,1416.03,872.67,,3983.03,No encontrado
feed,forage_meal_mix_12_5_cp,8.40,10.70,12.50,,1.50,0.75,47.20,1870.00,1150.00,1250.00,765.00,91.60,11.68,13.65,0.00,1.64,0.82,51.53,2041.48,1255.46,1364.63,835.15,59.80,3922.42,forage_meal_mix_12_5_cp
feed,cottonseed_hulls,8.60,3.00,6.30,,3.10,1.95,77.60,1450.00,875.00,955.00,550.00,91.40,3.28,6.89,0.00,3.39,2.14,84.90,1586.43,957.33,1044.86,601.75,,4288.91,No encontrado
feed,rise_hulls,9.30,13.40,2.60,,1.50,0.90,72.10,1360.00,820.00,900.00,515.00,90.70,14.77,2.87,0.00,1.65,0.99,79.49,1499.45,904.08,992.28,567.81,,3625.56,No encontrado
feed,out_hulls,10.00,3.70,3.80,,1.40,0.84,67.00,1750.00,1070.00,1170.00,705.00,90.00,4.11,4.22,0.00,1.56,0.93,74.44,1944.44,1188.89,1300.00,783.33,63.00,4109.56,out_hulls
feed,sunflower_hulls,8.60,3.30,5.70,,3.00,1.80,72.20,1320.00,795.00,875.00,495.00,91.40,3.61,6.24,0.00,3.28,1.97,78.99,1444.20,869.80,957.33,541.58,,4258.49,No encontrado
feed,horse_bean_hulls_low_in_tannins,10.40,2.50,9.50,,0.70,0.53,58.90,2400.00,1520.00,1635.00,1070.00,89.60,2.79,10.60,0.00,0.78,0.59,65.74,2678.57,1696.43,1824.78,1194.20,,4220.02,No encontrado
feed,soybean_hulls_10_cp,11.70,4.50,10.00,,2.00,1.80,59.30,2450.00,1560.00,1670.00,1105.00,88.30,5.10,11.33,0.00,2.27,2.04,67.16,2774.63,1766.70,1891.28,1251.42,,4212.48,No encontrado
feed,soybean_hulls_12_cp,11.20,4.60,12.00,,2.40,2.16,57.10,2470.00,1575.00,1690.00,1120.00,88.80,5.18,13.51,0.00,2.70,2.43,64.30,2781.53,1773.65,1903.15,1261.26,79.60,4266.13,soybean_hulls_12_cp
feed,carob_bean,15.00,2.70,4.50,,0.70,0.00,35.00,2050.00,1285.00,1390.00,880.00,85.00,3.18,5.29,0.00,0.82,0.00,41.18,2411.76,1511.76,1635.29,1035.29,59.00,4125.76,carob_bean
feed,olive_leaves,8.70,10.90,8.40,,5.00,1.50,43.00,1000.00,590.00,650.00,350.00,91.30,11.94,9.20,0.00,5.48,1.64,47.10,1095.29,646.22,711.94,383.35,,4059.39,No encontrado
feed,olive_pulp,6.80,8.30,9.60,,16.20,15.39,35.60,1720.00,1050.00,1150.00,680.00,93.20,8.91,10.30,0.00,17.38,16.51,38.20,1845.49,1126.61,1233.91,729.61,,4876.05,No encontrado
feed,olive_pulp_partially_defatted,6.30,9.00,9.90,,11.90,10.95,36.70,1440.00,860.00,950.00,540.00,93.70,9.61,10.57,0.00,12.70,11.68,39.17,1536.82,917.82,1013.87,576.31,,4587.07,No encontrado
feed,extracted_olive_pulp,10.30,8.80,10.90,,0.50,0.35,59.40,790.00,460.00,510.00,270.00,89.70,9.81,12.15,0.00,0.56,0.39,66.22,880.71,512.82,568.56,301.00,,3921.83,No encontrado
feed,grape_seed,8.20,2.90,9.30,,11.10,9.99,67.00,930.00,550.00,605.00,325.00,91.80,3.16,10.13,0.00,12.09,10.88,72.98,1013.07,599.13,659.04,354.03,,4830.09,No encontrado
feed,grape_seed_meal,11.40,4.50,11.10,,1.00,0.80,68.60,520.00,300.00,335.00,170.00,88.60,5.08,12.53,0.00,1.13,0.90,77.43,586.91,338.60,378.10,191.87,,4167.65,No encontrado
feed,grape_marc,8.20,5.80,11.20,,7.50,7.13,57.10,1100.00,650.00,720.00,400.00,91.80,6.32,12.20,0.00,8.17,7.76,62.20,1198.26,708.06,784.31,435.73,,4502.53,No encontrado
forage,straw_cereals_wheat_and_barley,8.60,6.90,4.60,,0.90,0.18,71.10,1260.00,755.00,835.00,470.00,91.40,7.55,5.03,0.00,0.98,0.20,77.79,1378.56,826.04,913.57,514.22,40.00,3938.47,straw_cereals_wheat_and_barley
feed,straw_naoh_treated,8.20,9.10,3.60,,1.50,0.60,70.20,1740.00,1065.00,1160.00,700.00,91.80,9.91,3.92,0.00,1.63,0.65,76.47,1895.42,1160.13,1263.62,762.53,,3854.16,No encontrado
feed,straw_lentils,10.00,10.10,6.00,,1.00,0.50,60.00,1340.00,805.00,880.00,500.00,90.00,11.22,6.67,0.00,1.11,0.56,66.67,1488.89,894.44,977.78,555.56,,3808.44,No encontrado
feed,citrus_pulp_orange_tangerine,12.30,6.00,6.10,,1.60,0.88,20.60,2600.00,1665.00,1785.00,1205.00,87.70,6.84,6.96,0.00,1.82,1.00,23.49,2964.65,1898.52,2035.35,1374.00,84.10,4045.47,citrus_pulp_orange_tangerine
feed,apple_pulp,10.80,2.00,5.50,,4.00,0.00,46.80,1990.00,1240.00,1340.00,835.00,89.20,2.24,6.17,0.00,4.48,0.00,52.47,2230.94,1390.13,1502.24,936.10,,4384.96,No encontrado
feed,beet_pulp_4_ash,10.70,4.00,8.60,,0.60,0.24,40.80,2630.00,1685.00,1800.00,1210.00,89.30,4.48,9.63,0.00,0.67,0.27,45.69,2945.13,1886.90,2015.68,1354.98,81.00,4124.99,beet_pulp_4_ash
feed,beet_pulp_7_5_ash,10.70,7.50,7.90,,0.60,0.24,39.80,2515.00,1600.00,1720.00,1140.00,89.30,8.40,8.85,0.00,0.67,0.27,44.57,2816.35,1791.71,1926.09,1276.60,,3940.78,No encontrado
feed,meat_meal_44_15_28,6.40,28.00,43.70,,15.40,12.32,1.50,2600.00,1655.00,1775.00,1175.00,93.60,29.91,46.69,0.00,16.45,13.16,1.60,2777.78,1768.16,1896.37,1255.34,,4445.45,No encontrado
feed,meat_meal_50_14_26,5.40,26.00,49.30,,14.40,11.52,1.50,2680.00,1710.00,1830.00,1215.00,94.60,27.48,52.11,0.00,15.22,12.18,1.59,2832.98,1807.61,1934.46,1284.36,,4564.84,No encontrado
feed,meat_meal_52_14_25,4.20,25.20,52.30,,14.10,11.28,1.50,2750.00,1755.00,1885.00,1255.00,95.80,26.30,54.59,0.00,14.72,11.77,1.57,2870.56,1831.94,1967.64,1310.02,0.00,4625.70,meat_meal_52_14_25
feed,meat_meal_57_13_24,4.00,23.60,56.60,,13.10,10.48,1.50,2820.00,1805.00,1930.00,1300.00,96.00,24.58,58.96,0.00,13.65,10.92,1.56,2937.50,1880.21,2010.42,1354.17,,4706.88,No encontrado
feed,poultry_byproduct,9.70,6.10,61.80,,19.30,16.41,1.50,3235.00,2130.00,2255.00,1610.00,90.30,6.76,68.44,0.00,21.37,18.17,1.66,3582.50,2358.80,2497.23,1782.95,,6066.25,No encontrado
feed,poultry_meat_meal,3.50,15.80,64.80,,13.00,10.40,1.40,3010.00,1945.00,2075.00,1420.00,96.50,16.37,67.15,0.00,13.47,10.78,1.45,3119.17,2015.54,2150.26,1471.50,,5181.24,No encontrado
feed,fish_meal_national_59_9_21,8.00,21.50,59.00,,9.00,7.20,1.50,2670.00,1710.00,1830.00,1225.00,92.00,23.37,64.13,0.00,9.78,7.83,1.63,2902.17,1858.70,1989.13,1331.52,,4621.52,No encontrado
feed,fish_meal_national_62_9_18,7.80,18.50,62.20,,9.20,7.45,1.50,2820.00,1815.00,1940.00,1320.00,92.20,20.07,67.46,0.00,9.98,8.08,1.63,3058.57,1968.55,2104.12,1431.67,,4827.85,No encontrado
feed,fish_meal_67_10_15,7.20,15.10,66.60,,9.40,7.71,1.50,2985.00,1935.00,2060.00,1425.00,92.80,16.27,71.77,0.00,10.13,8.31,1.62,3216.59,2085.13,2219.83,1535.56,,5067.80,No encontrado
feed,fish_meal_70_9_13,7.00,12.50,70.00,,9.50,7.98,0.80,3080.00,2005.00,2130.00,1485.00,93.00,13.44,75.27,0.00,10.22,8.58,0.86,3311.83,2155.91,2290.32,1596.77,,5249.68,No encontrado
feed,feather_meal_hydrolyzed,6.80,2.20,83.90,,6.00,4.68,1.00,2975.00,1925.00,2050.00,1415.00,93.20,2.36,90.02,0.00,6.44,5.02,1.07,3192.06,2065.45,2199.57,1518.24,,5746.97,No encontrado
feed,blood_meal_spray,8.00,3.50,87.00,,0.80,0.00,0.00,2950.00,1905.00,2030.00,1400.00,92.00,3.80,94.57,0.00,0.87,0.00,0.00,3206.52,2070.65,2206.52,1521.74,,5439.78,No encontrado
feed,hemoglobine,6.50,3.30,91.50,,0.50,0.00,0.00,0.00,0.00,0.00,0.00,93.50,3.53,97.86,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,,5482.57,No encontrado
feed,animal_plasma_70_cp,8.60,17.20,70.60,,0.80,0.72,0.00,0.00,0.00,0.00,0.00,91.40,18.82,77.24,0.00,0.88,0.79,0.00,0.00,0.00,0.00,0.00,,4519.65,No encontrado
feed,animal_plasma_78_cp,8.60,7.60,78.00,,0.60,0.54,0.00,0.00,0.00,0.00,0.00,91.40,8.32,85.34,0.00,0.66,0.59,0.00,0.00,0.00,0.00,0.00,,5090.98,No encontrado
feed,egg_meal,6.00,5.00,47.00,,38.00,36.10,0.00,0.00,0.00,0.00,0.00,94.00,5.32,50.00,0.00,40.43,38.40,0.00,0.00,0.00,0.00,0.00,,6919.79,No encontrado
feed,mucose_hydrolyzed_52_cp,5.80,12.40,52.90,,2.60,2.55,4.00,0.00,0.00,0.00,0.00,94.20,13.16,56.16,0.00,2.76,2.70,4.25,0.00,0.00,0.00,0.00,,4557.73,No encontrado
feed,mucose_hydrolyzed_62_cp,4.50,24.60,62.00,,2.10,2.10,0.00,0.00,0.00,0.00,0.00,95.50,25.76,64.92,0.00,2.20,2.20,0.00,0.00,0.00,0.00,0.00,,4103.56,No encontrado
feed,mucose_hydrolyzed_70_cp,3.60,17.30,70.10,,0.10,0.10,0.00,0.00,0.00,0.00,0.00,96.40,17.95,72.72,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,,4446.95,No encontrado
feed,casein,9.00,2.60,87.00,,0.80,0.76,0.00,3300.00,2175.00,2305.00,1650.00,91.00,2.86,95.60,0.00,0.88,0.84,0.00,3626.37,2390.11,2532.97,1813.19,,5497.58,No encontrado
feed,skimmed_milk,5.00,7.80,34.20,,0.90,0.86,0.00,3015.00,1950.00,2080.00,1430.00,95.00,8.21,36.00,0.00,0.95,0.90,0.00,3173.68,2052.63,2189.47,1505.26,95.00,4371.79,skimmed_milk
feed,skimmed_milk_denatured,5.60,8.10,34.00,,1.00,0.90,2.30,2980.00,1925.00,2055.00,1410.00,94.40,8.58,36.02,0.00,1.06,0.95,2.44,3156.78,2039.19,2176.91,1493.64,,4362.03,No encontrado
feed,wheypowder_acid,4.40,12.00,9.40,,0.90,0.86,0.00,2780.00,1780.00,1905.00,1275.00,95.60,12.55,9.83,0.00,0.94,0.89,0.00,2907.95,1861.92,1992.68,1333.68,92.00,3787.91,wheypowder_acid
feed,wheypowder_sweet_sheep,4.30,8.40,14.10,,1.00,0.95,0.00,2925.00,1885.00,2015.00,1370.00,95.70,8.78,14.73,0.00,1.04,0.99,0.00,3056.43,1969.70,2105.54,1431.56,,4033.31,No encontrado
feed,wheypowder_sweet_cattle,4.50,8.60,12.50,,0.90,0.86,0.00,2900.00,1865.00,1995.00,1355.00,95.50,9.01,13.09,0.00,0.94,0.90,0.00,3036.65,1952.88,2089.01,1418.85,92.00,3992.88,wheypowder_sweet_cattle
feed,wheypowder_50_fat,2.80,4.50,6.20,,50.00,47.50,0.00,5040.00,3540.00,3660.00,2980.00,97.20,4.63,6.38,0.00,51.44,48.87,0.00,5185.19,3641.98,3765.43,3065.84,,6912.63,No encontrado
feed,wheypowder_partially_lactose_free_22_39_22,5.00,23.50,21.00,,2.80,2.66,0.00,2470.00,1560.00,1680.00,1090.00,95.00,24.74,22.11,0.00,2.95,2.80,0.00,2600.00,1642.11,1768.42,1147.37,,3548.21,No encontrado
feed,tallow,4.50,19.50,25.50,,3.00,2.79,0.00,2640.00,1680.00,1800.00,1190.00,95.50,20.42,26.70,0.00,3.14,2.92,0.00,2764.40,1759.16,1884.82,1246.07,,3818.01,No encontrado
feed,wheypowder_partially_lactose_free_20_fat,4.50,15.60,20.40,,20.00,19.00,0.00,3410.00,2245.00,2375.00,1700.00,95.50,16.34,21.36,0.00,20.94,19.90,0.00,3570.68,2350.79,2486.91,1780.10,,4914.45,No encontrado
feed,whey_permeate,4.10,8.50,3.50,,0.50,0.48,0.00,0.00,0.00,0.00,0.00,95.90,8.86,3.65,0.00,0.52,0.50,0.00,0.00,0.00,0.00,0.00,,3833.95,No encontrado
feed,butterfat,0.00,0.00,0.00,,100.00,98.00,0.00,6640.00,4740.00,4500.00,4645.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6640.00,4740.00,4500.00,4645.00,88.00,9740.00,butterfat
feed,tallow,0.00,0.00,0.00,,100.00,98.00,0.00,6780.00,4840.00,4600.00,4720.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6780.00,4840.00,4600.00,4720.00,,9740.00,No encontrado
feed,lard,0.00,0.00,0.00,,100.00,98.00,0.00,6900.00,4930.00,4685.00,4830.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6900.00,4930.00,4685.00,4830.00,,9740.00,No encontrado
feed,animal_fat_3_5,0.00,0.00,0.00,,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,,9740.00,No encontrado
feed,animal_fat_5_9,0.00,0.00,0.00,,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,,9740.00,No encontrado
feed,animal_fat_9_12,0.00,0.00,0.00,,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,6734.55,4800.00,4570.00,4710.00,,9740.00,No encontrado
feed,poultry_fat,0.00,0.00,0.00,,100.00,98.00,0.00,6800.00,4855.00,4610.00,4760.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6800.00,4855.00,4610.00,4760.00,,9740.00,No encontrado
feed,chilean_fish_oil,0.00,0.00,0.00,,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,,9740.00,No encontrado
feed,nordic_fish_oil,0.00,0.00,0.00,,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,,9740.00,No encontrado
feed,national_fish_oil,0.00,0.00,0.00,,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,100.00,0.00,0.00,0.00,100.00,98.00,0.00,6370.00,4550.00,4320.00,4460.00,,9740.00,No encontrado
