ingredient_type,ingredient,moisture,ash_fm,cp_fm,adf_fm,ee_fm,true fat_fm,ndf_fm,me_fm,nel_fm,nem_fm,neg_fm,ms,ash,cp,adf,ee,true_fat,ndf,me,nel,nem,neg,de,eb,a
feed,sodium_propionate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,ammonium_propionate,0.00,0.00,96.15,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,96.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,5582.25,No encontrado
feed,calcium_propionate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,sodium_butyrate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4140.00,sodium_butyrate
feed,calcium_butyrate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,choline_chloride_75,25.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,choline_chloride_60,2.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,choline_chloride_50_vegetable,2.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,choline_chloride_50_mineral,12.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,betaine_anhydrous_97,1.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,betaine_anhydrous_93,1.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,betaine_hydrocloride,2.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,copper_sulphate_pentahydrate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,copper_oxide_ii,0.20,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,dichloro_trihydroxychloride_tbcc,2.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,zinc_hydroxy_chlorur_monohydrate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,zinc_sulfate_monohydrated,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,zinc_sulfate_pentahydrated,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,zinc_oxide_72,0.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,zinc_oxide_75,0.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,iron_sulfate_ii_monohydrated,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,iron_sulfate_ii_heptahydrated,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,iron_carbonate_ii_siderita,0.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,manganose_sulfate_monohydrated,0.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,manganese_oxide_ii,0.50,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,dimanganese_trihydroxychlorur,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,potaisum_iodine,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,calcium_iodate_anhydrous,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,cobalt_ii_acetate_tetrahydrate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,cobalt_ii_carbonate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,coated_granulated_cobalt_ii_carbonate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,sodium_selenite,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
feed,sodium_molybdate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4140.00,No encontrado
forage,alfalfa_hay_excellent,11.10,10.20,18.80,27.50,2.34,0.00,35.50,2.36,1.47,1.48,0.00,88.90,11.47,21.15,30.93,2.63,0.00,39.93,2.65,1.65,1.66,0.00,,4099.78,No encontrado
forage,alfalfa_hay_first,9.10,10.10,17.60,32.80,2.11,0.00,42.90,2.20,1.40,1.34,0.00,90.90,11.11,19.36,36.08,2.32,0.00,47.19,2.42,1.54,1.47,0.00,58.40,4071.53,alfalfa_hay_first
forage,alfalfa_hay_second,9.60,10.10,15.90,35.70,2.00,0.00,49.10,2.07,1.29,1.22,0.00,90.40,11.17,17.59,39.49,2.21,0.00,54.31,2.29,1.43,1.35,0.00,57.00,4036.13,No encontrado
forage,alfalfa_hay_third,10.00,9.98,14.10,39.70,1.86,0.00,56.00,1.94,1.17,1.10,0.00,90.00,11.09,15.67,44.11,2.07,0.00,62.22,2.16,1.30,1.22,0.00,,4002.82,No encontrado
forage,alfalfa_hay_fourth,9.30,10.80,13.40,43.70,1.50,0.00,61.70,1.84,1.09,1.00,0.00,90.70,11.91,14.77,48.18,1.65,0.00,68.03,2.03,1.20,1.10,0.00,,3930.30,No encontrado
forage,ryegrass_hay_excellent,8.10,12.00,20.50,27.20,1.87,0.00,41.90,2.26,1.45,1.39,0.00,91.90,13.06,22.31,29.60,2.03,0.00,45.59,2.46,1.58,1.51,0.00,,4014.02,No encontrado
forage,ryegrass_hay_first,9.50,12.60,18.70,29.70,2.27,0.00,48.10,2.21,1.41,1.35,0.00,90.50,13.92,20.66,32.82,2.51,0.00,53.15,2.44,1.56,1.49,0.00,,3977.81,No encontrado
forage,ryegrass_hay_second,10.90,10.50,14.70,32.60,2.08,0.00,52.70,2.20,1.40,1.33,0.00,89.10,11.78,16.50,36.59,2.33,0.00,59.15,2.47,1.57,1.49,0.00,60.00,3999.69,ryegrass_hay_second
forage,ryegrass_hay_third,10.90,8.40,10.50,35.80,1.97,0.00,57.90,2.15,1.36,1.29,0.00,89.10,9.43,11.78,40.18,2.21,0.00,64.98,2.41,1.53,1.45,0.00,60.00,4025.77,ryegrass_hay_third
forage,ryegrass_hay_fourth,11.30,8.70,10.60,38.30,2.18,0.00,63.40,2.08,1.29,1.22,0.00,88.70,9.81,11.95,43.18,2.46,0.00,71.48,2.34,1.45,1.38,0.00,61.70,4025.32,ryegrass_hay_fourth
forage,ryegrass_hay_fifth,10.90,9.20,9.40,47.50,1.48,0.00,70.60,1.92,1.16,1.08,0.00,89.10,10.33,10.55,53.31,1.66,0.00,79.24,2.15,1.30,1.21,0.00,,3936.95,No encontrado
forage,vetch_hay_excellent,10.80,9.14,16.60,27.80,0.00,0.00,36.40,2.40,1.49,1.52,0.00,89.20,10.25,18.61,31.17,0.00,0.00,40.81,2.69,1.67,1.70,0.00,,3968.30,No encontrado
forage,vetch_hay_first,10.70,8.21,14.70,31.70,0.00,0.00,42.80,2.34,1.45,1.47,0.00,89.30,9.19,16.46,35.50,0.00,0.00,47.93,2.62,1.62,1.65,0.00,,3982.40,No encontrado
forage,vetch_hay_second,10.90,8.10,11.10,35.70,0.00,0.00,49.80,2.18,1.38,1.32,0.00,89.10,9.09,12.46,40.07,0.00,0.00,55.89,2.45,1.55,1.48,0.00,,3926.87,No encontrado
forage,vetch_hay_third,9.40,6.57,9.86,38.60,0.00,0.00,57.70,2.13,1.34,1.27,0.00,90.60,7.25,10.88,42.60,0.00,0.00,63.69,2.35,1.48,1.40,0.00,60.90,3984.17,vetch_hay_third
forage,corn_silage_lt20,,,,,,,,,,,,100.00,7.28,8.78,40.30,4.54,0.00,54.80,2.19,1.36,1.33,0.00,,4205.62,No encontrado
forage,corn_silage_20_25,,,,,,,,,,,,100.00,6.31,8.41,33.30,4.35,0.00,54.20,2.15,1.36,1.29,0.00,,4232.11,No encontrado
forage,corn_silage_25_30,,,,,,,,,,,,100.00,4.51,7.68,29.10,4.40,0.00,56.10,2.46,1.54,1.57,0.00,67.70,4303.16,corn_silage_25_30
forage,corn_silage_30_35,,,,,,,,,,,,100.00,4.18,7.13,26.80,4.20,0.00,57.60,2.26,1.40,1.39,0.00,,4298.23,No encontrado
forage,corn_silage_gt35,,,,,,,,,,,,100.00,4.01,6.95,25.30,3.76,0.00,52.90,2.43,1.50,1.54,0.00,,4278.37,No encontrado
forage,sorghum_silage_lt20,,,,,,,,,,,,100.00,8.70,11.20,39.70,2.93,0.00,54.10,2.24,1.38,1.37,0.00,,4089.28,No encontrado
forage,sorghum_silage_20_25,,,,,,,,,,,,100.00,8.74,8.79,40.70,2.95,0.00,54.70,2.22,1.36,1.36,0.00,,4052.49,No encontrado
forage,sorghum_silage_25_30,,,,,,,,,,,,100.00,8.07,8.37,37.50,2.65,0.00,56.10,2.15,1.36,1.29,0.00,55.40,4058.87,sorghum_silage_25_30
forage,sorghum_silage_30_35,,,,,,,,,,,,100.00,11.00,8.25,37.40,2.90,0.00,61.40,2.21,1.38,1.35,0.00,,3942.15,No encontrado
forage,sorghum_silage_gt35,,,,,,,,,,,,100.00,10.60,8.25,35.20,2.54,0.00,58.90,2.27,1.41,1.40,0.00,,3939.59,No encontrado
forage,oat_silage_20_25,,,,,,,,,,,,100.00,9.58,10.10,41.30,4.10,0.00,58.00,2.22,1.38,1.35,0.00,,4099.58,No encontrado
forage,oat_silage_25_30,,,,,,,,,,,,100.00,9.07,8.91,38.80,3.60,0.00,58.60,2.22,1.36,1.36,0.00,60.90,4076.17,oat_silage_25_30
forage,oat_silage_30_35,,,,,,,,,,,,100.00,7.57,8.32,35.90,3.40,0.00,40.50,2.52,1.57,1.62,0.00,,4122.12,No encontrado
forage,oat_silage_gt35,,,,,,,,,,,,100.00,7.17,8.66,36.10,3.10,0.00,46.00,2.34,1.45,1.47,0.00,,4128.02,No encontrado
forage,barley_silage_lt20,,,,,,,,,,,,100.00,12.20,14.00,27.40,2.90,0.00,52.10,2.17,1.37,1.31,0.00,,3975.60,No encontrado
forage,barley_silage_20_25,,,,,,,,,,,,100.00,9.16,10.60,38.40,4.52,0.00,59.30,2.05,1.27,1.20,0.00,,4149.08,No encontrado
forage,barley_silage_25_30,,,,,,,,,,,,100.00,8.55,12.70,30.00,3.47,0.00,65.20,1.83,1.07,0.98,0.00,61.10,4148.62,barley_silage_25_30
forage,barley_silage_30_35,,,,,,,,,,,,100.00,7.58,9.57,32.00,3.34,0.00,41.10,2.60,1.63,1.69,0.00,,4137.07,No encontrado
forage,barley_silage_gt35,,,,,,,,,,,,100.00,7.76,9.29,31.30,2.71,0.00,46.70,2.37,1.47,1.49,0.00,,4089.67,No encontrado
forage,wheat_silage_lt20,,,,,,,,,,,,100.00,8.37,10.80,36.30,7.66,0.00,52.50,2.24,1.39,1.38,0.00,,4362.68,No encontrado
forage,wheat_silage_20_25,,,,,,,,,,,,100.00,8.70,9.90,38.60,5.00,0.00,59.00,2.11,1.32,1.25,0.00,,4185.70,No encontrado
forage,wheat_silage_25_30,,,,,,,,,,,,100.00,8.39,9.14,31.30,3.97,0.00,64.80,2.03,1.25,1.18,0.00,55.00,4130.26,wheat_silage_25_30
forage,wheat_silage_30_35,,,,,,,,,,,,100.00,6.43,9.31,34.30,3.41,0.00,39.20,2.25,1.45,1.39,0.00,,4187.69,No encontrado
forage,wheat_silage_gt35,,,,,,,,,,,,100.00,6.62,8.40,34.20,2.63,0.00,45.50,2.21,1.41,1.35,0.00,,4122.00,No encontrado
forage,triticale_silage_lt20,,,,,,,,,,,,100.00,10.30,13.90,37.80,2.87,0.00,51.80,2.15,1.35,1.29,0.00,,4056.02,No encontrado
forage,triticale_silage_20_25,,,,,,,,,,,,100.00,9.49,11.30,39.10,4.42,0.00,57.90,2.08,1.29,1.23,0.00,,4139.46,No encontrado
forage,triticale_silage_25_30,,,,,,,,,,,,100.00,8.90,10.40,37.40,5.21,0.00,63.70,1.94,1.17,1.10,0.00,56.00,4196.16,triticale_silage_25_30
forage,triticale_silage_30_35,,,,,,,,,,,,100.00,8.11,10.40,36.60,3.96,0.00,68.70,1.77,1.02,0.93,0.00,,4160.92,No encontrado
forage,triticale_silage_gt35,,,,,,,,,,,,100.00,6.07,8.58,36.40,2.98,0.00,50.00,2.14,1.36,1.28,0.00,,4168.50,No encontrado
forage,ryegrass_fresh_excellent,,,,,,,,,,,,100.00,12.40,19.70,22.60,3.99,0.00,41.50,2.45,1.52,1.56,0.00,,4113.34,No encontrado
forage,ryegrass_fresh_first,,,,,,,,,,,,100.00,12.80,14.40,27.80,3.23,0.00,40.40,2.69,1.69,1.77,0.00,62.70,3973.68,ryegrass_fresh_first
forage,ryegrass_fresh_second,,,,,,,,,,,,100.00,13.20,12.00,31.30,2.56,0.00,41.90,2.70,1.71,1.78,0.00,65.70,3882.56,ryegrass_fresh_second
forage,ryegrass_fresh_third,,,,,,,,,,,,100.00,12.40,10.40,35.30,2.29,0.00,0.00,0.00,0.00,0.00,0.00,60.00,3878.64,ryegrass_fresh_third
forage,ryegrass_fresh_fourth,,,,,,,,,,,,100.00,14.40,8.00,38.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,60.00,3756.88,ryegrass_fresh_fourth
forage,ryegrass_silage_excellent,,,,,,,,,,,,100.00,12.20,18.60,23.60,6.80,0.00,0.00,0.00,0.00,0.00,0.00,,4263.00,No encontrado
forage,ryegrass_silage_first,,,,,,,,,,,,100.00,11.90,15.80,27.80,3.37,0.00,0.00,0.00,0.00,0.00,0.00,,4042.12,No encontrado
forage,ryegrass_silage_second,,,,,,,,,,,,100.00,11.10,12.70,31.90,3.00,0.00,52.50,0.00,0.00,0.00,0.00,70.00,4010.10,ryegrass_silage_second
forage,ryegrass_silage_third,,,,,,,,,,,,100.00,11.40,11.70,36.20,2.20,0.00,0.00,0.00,0.00,0.00,0.00,,3937.10,No encontrado
forage,ryegrass_silage_fourth,,,,,,,,,,,,100.00,10.20,10.70,40.70,2.76,0.00,0.00,0.00,0.00,0.00,0.00,,4006.26,No encontrado
forage,grass_silage_excellent,,,,,,,,,,,,100.00,15.50,18.60,27.10,2.80,0.00,0.00,0.00,0.00,0.00,0.00,,3893.80,No encontrado
forage,grass_silage_first,,,,,,,,,,,,100.00,11.40,15.90,30.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,,4028.10,No encontrado
forage,grass_silage_second,,,,,,,,,,,,100.00,10.50,14.40,34.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,,4045.20,No encontrado
forage,grass_silage_third,,,,,,,,,,,,100.00,9.80,13.10,38.10,2.60,0.00,0.00,0.00,0.00,0.00,0.00,66.00,4050.90,grass_silage_third
forage,grass_silage_fourth,,,,,,,,,,,,100.00,9.10,10.70,41.80,2.60,0.00,0.00,0.00,0.00,0.00,0.00,,4045.70,No encontrado
forage,grass_silage_fifth,,,,,,,,,,,,100.00,11.40,9.50,48.60,2.50,0.00,0.00,0.00,0.00,0.00,0.00,,3920.90,No encontrado
forage,rapeseed_silage,,,,,,,,,,,,100.00,13.20,12.80,43.40,4.35,0.00,0.00,0.00,0.00,0.00,0.00,,3994.80,No encontrado
forage,sunflower_silage_lt20,,,,,,,,,,,,100.00,10.40,11.20,36.90,6.80,0.00,0.00,0.00,0.00,0.00,0.00,,4231.20,No encontrado
forage,sunflower_silage_20_25,,,,,,,,,,,,100.00,9.33,10.50,36.90,11.60,0.00,0.00,0.00,0.00,0.00,0.00,,4536.58,No encontrado
forage,sunflower_silage_gt25,,,,,,,,,,,,100.00,9.20,10.30,36.10,13.20,0.00,0.00,0.00,0.00,0.00,0.00,,4628.90,No encontrado
feed,mycotoxin_adsorbent,0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4140.00,mycotoxin_adsorbent
forage,cereals_silage_wheat_barley_oat_triticale,,,,,,,,,,,,100.00,8.70,10.00,0.00,4.10,0.00,56.50,0.00,1412.50,1395.00,0.00,58.00,4136.80,cereals_silage_wheat_barley_oat_triticale
forage,alfalfa_silage,,,,,,,,,,,,100.00,0.00,20.00,0.00,0.00,0.00,40.00,0.00,1200.00,1290.00,0.00,71.90,4440.00,alfalfa_silage
milk,cow_breast_milk,5.00,7.56,33.15,,3.93,0.00,0.00,0.00,2103.00,2222.00,0.00,95.00,7.96,34.89,0.00,4.14,0.00,0.00,0.00,2213.68,2338.95,0.00,98.00,4544.94,cow_breast_milk
milk,sheep_breast_milk,82.00,0.00,5.87,,0.00,0.00,0.00,0.00,490.00,483.00,217.00,18.00,0.00,32.61,0.00,0.00,0.00,0.00,0.00,2722.22,2683.33,1205.56,95.00,4629.17,sheep_breast_milk
milk,goat_breast_milk,87.10,0.62,3.28,,5.07,0.00,0.00,0.00,398.60,397.00,179.60,12.90,4.81,25.43,0.00,39.30,0.00,0.00,0.00,3089.92,3077.52,1392.25,95.00,6510.85,goat_breast_milk
milk_replacer,milk_replacer,4.10,9.10,22.08,,16.90,0.00,0.42,0.00,0.00,2356.00,0.00,95.90,9.49,23.02,0.00,17.62,0.00,0.44,0.00,0.00,2456.73,0.00,84.20,5054.70,milk_replacer
feed,aroma,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4140.00,aroma
feed,Vitamin/mineral_supplement,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4140.00,Vitamin/mineral_supplement
feed,potassium_carbonate,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4140.00,potassium_carbonate
